"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2011","Austria","Thousand","537",""
"2011","Poland","Thousand","476",""
"2011","Portugal","Thousand","447",""
"2011","Romania","Thousand","216",""
"2011","Slovenia","Thousand","519",""
"2011","Slovakia","Thousand","324",""
"2011","Finland","Thousand","551",""
"2011","Sweden","Thousand","464",""
"2011","United Kingdom","Thousand","448","d"
"2011","Iceland","Thousand",":",""
"2011","Liechtenstein","Thousand","749",""
"2011","Norway","Thousand","477",""
"2011","Switzerland","Thousand","523","e"
"2011","Former Yugoslav Republic of Macedonia, the","Thousand","152",""
"2011","Turkey","Thousand","109",""
"2012","Belgium","Thousand","489",""
"2012","Bulgaria","Thousand","385",""
"2012","Czechia","Thousand","448","d"
"2012","Denmark","Thousand",":",""
"2012","Germany (until 1990 former territory of the FRG)","Thousand","539",""
"2012","Estonia","Thousand","456",""
"2012","Ireland","Thousand","423","d"
"2012","Greece","Thousand","470",""
"2012","Spain","Thousand","476","d"
"2012","France","Thousand","490",""
"2012","Croatia","Thousand","339",""
"2012","Italy","Thousand","621",""
"2012","Cyprus","Thousand","549",""
"2012","Latvia","Thousand","305",""
"2012","Lithuania","Thousand","590",""
"2012","Luxembourg","Thousand","663",""
"2012","Hungary","Thousand","301",""
"2012","Malta","Thousand","591",""
"2012","Netherlands","Thousand","472",""
"2012","Austria","Thousand","542",""
"2012","Poland","Thousand","492",""
"2012","Portugal","Thousand","406",""
"2012","Romania","Thousand","224",""
"2012","Slovenia","Thousand","518",""
"2012","Slovakia","Thousand","337",""
"2012","Finland","Thousand","560",""
"2012","Sweden","Thousand","465",""
"2012","United Kingdom","Thousand","449","d"
"2012","Iceland","Thousand",":",""
"2012","Liechtenstein","Thousand","760",""
"2012","Norway","Thousand","484",""
"2012","Switzerland","Thousand","529",""
"2012","Former Yugoslav Republic of Macedonia, the","Thousand","146",""
"2012","Turkey","Thousand","114",""
"2013","Belgium","Thousand","491",""
"2013","Bulgaria","Thousand","402",""
"2013","Czechia","Thousand","450",""
"2013","Denmark","Thousand",":",""
