"TIME","GEO","UNIT","PERS_INV","Value","Flag and Footnotes"
"2004","Iceland","Number","Drivers","13",""
"2004","Iceland","Number","Pedestrians","3",""
"2004","Liechtenstein","Number","Passengers",":",""
"2004","Liechtenstein","Number","Drivers",":",""
"2004","Liechtenstein","Number","Pedestrians",":",""
"2004","Norway","Number","Passengers","64",""
"2004","Norway","Number","Drivers","171",""
"2004","Norway","Number","Pedestrians","22",""
"2004","Switzerland","Number","Passengers","72",""
"2004","Switzerland","Number","Drivers","343",""
"2004","Switzerland","Number","Pedestrians","95",""
"2005","Belgium","Number","Passengers","173",""
"2005","Belgium","Number","Drivers","808",""
"2005","Belgium","Number","Pedestrians","108",""
"2005","Bulgaria","Number","Passengers",":",""
"2005","Bulgaria","Number","Drivers",":",""
"2005","Bulgaria","Number","Pedestrians",":",""
"2005","Czechia","Number","Passengers","277",""
"2005","Czechia","Number","Drivers","711",""
"2005","Czechia","Number","Pedestrians","298",""
"2005","Denmark","Number","Passengers","53",""
"2005","Denmark","Number","Drivers","233",""
"2005","Denmark","Number","Pedestrians","44",""
"2005","Germany (until 1990 former territory of the FRG)","Number","Passengers","822",""
"2005","Germany (until 1990 former territory of the FRG)","Number","Drivers","3,853",""
"2005","Germany (until 1990 former territory of the FRG)","Number","Pedestrians","686",""
"2005","Estonia","Number","Passengers","36",""
"2005","Estonia","Number","Drivers","82",""
"2005","Estonia","Number","Pedestrians","50",""
"2005","Ireland","Number","Passengers","95",""
"2005","Ireland","Number","Drivers","233",""
"2005","Ireland","Number","Pedestrians","72",""
"2005","Greece","Number","Passengers","371",""
"2005","Greece","Number","Drivers","1,053",""
"2005","Greece","Number","Pedestrians","234",""
"2005","Spain","Number","Passengers","1,003",""
"2005","Spain","Number","Drivers","2,727",""
"2005","Spain","Number","Pedestrians","676",""
"2005","France","Number","Passengers","984",""
"2005","France","Number","Drivers","3,699",""
"2005","France","Number","Pedestrians","635",""
"2005","Croatia","Number","Passengers",":",""
"2005","Croatia","Number","Drivers",":",""
"2005","Croatia","Number","Pedestrians",":",""
"2005","Italy","Number","Passengers","1,137",""
"2005","Italy","Number","Drivers","3,895",""
"2005","Italy","Number","Pedestrians","786",""
"2005","Cyprus","Number","Passengers","20",""
"2005","Cyprus","Number","Drivers","59",""
"2005","Cyprus","Number","Pedestrians","23",""
"2005","Latvia","Number","Passengers","105",""
"2005","Latvia","Number","Drivers","163",""
"2005","Latvia","Number","Pedestrians","174",""
"2005","Lithuania","Number","Passengers",":",""
"2005","Lithuania","Number","Drivers",":",""
"2005","Lithuania","Number","Pedestrians",":",""
"2005","Luxembourg","Number","Passengers","11",""
"2005","Luxembourg","Number","Drivers","34",""
"2005","Luxembourg","Number","Pedestrians","2",""
"2005","Hungary","Number","Passengers","292",""
"2005","Hungary","Number","Drivers","697",""
"2005","Hungary","Number","Pedestrians","289",""
"2005","Malta","Number","Passengers","6",""
"2005","Malta","Number","Drivers","5",""
"2005","Malta","Number","Pedestrians","6",""
"2005","Netherlands","Number","Passengers","102",""
"2005","Netherlands","Number","Drivers","565",""
"2005","Netherlands","Number","Pedestrians","83",""
"2005","Austria","Number","Passengers","127",""
"2005","Austria","Number","Drivers","544",""
"2005","Austria","Number","Pedestrians","97",""
"2005","Poland","Number","Passengers","1,216",""
"2005","Poland","Number","Drivers","2,472",""
"2005","Poland","Number","Pedestrians","1,756",""
"2005","Portugal","Number","Passengers","254",""
"2005","Portugal","Number","Drivers","762",""
"2005","Portugal","Number","Pedestrians","212",""
"2005","Romania","Number","Passengers","709",""
"2005","Romania","Number","Drivers","940",""
"2005","Romania","Number","Pedestrians","978",""
"2005","Slovenia","Number","Passengers","55",""
"2005","Slovenia","Number","Drivers","165",""
"2005","Slovenia","Number","Pedestrians","37",""
"2005","Slovakia","Number","Passengers","145",""
"2005","Slovakia","Number","Drivers","287",""
"2005","Slovakia","Number","Pedestrians","174",""
"2005","Finland","Number","Passengers","74",""
"2005","Finland","Number","Drivers","260",""
"2005","Finland","Number","Pedestrians","45",""
"2005","Sweden","Number","Passengers","88",""
"2005","Sweden","Number","Drivers","300",""
"2005","Sweden","Number","Pedestrians","50",""
"2005","United Kingdom","Number","Passengers","635",""
"2005","United Kingdom","Number","Drivers","2,002",""
"2005","United Kingdom","Number","Pedestrians","699",""
"2005","Iceland","Number","Passengers","4",""
"2005","Iceland","Number","Drivers","14",""
"2005","Iceland","Number","Pedestrians","1",""
"2005","Liechtenstein","Number","Passengers",":",""
"2005","Liechtenstein","Number","Drivers",":",""
"2005","Liechtenstein","Number","Pedestrians",":",""
"2005","Norway","Number","Passengers","52",""
"2005","Norway","Number","Drivers","140",""
"2005","Norway","Number","Pedestrians","32",""
"2005","Switzerland","Number","Passengers","65",""
"2005","Switzerland","Number","Drivers","275",""
"2005","Switzerland","Number","Pedestrians","69",""
"2006","Belgium","Number","Passengers","141",""
"2006","Belgium","Number","Drivers","805",""
"2006","Belgium","Number","Pedestrians","122",""
"2006","Bulgaria","Number","Passengers",":",""
"2006","Bulgaria","Number","Drivers",":",""
"2006","Bulgaria","Number","Pedestrians",":",""
"2006","Czechia","Number","Passengers","222",""
"2006","Czechia","Number","Drivers","639",""
"2006","Czechia","Number","Pedestrians","202",""
"2006","Denmark","Number","Passengers","46",""
"2006","Denmark","Number","Drivers","200",""
"2006","Denmark","Number","Pedestrians","60",""
"2006","Germany (until 1990 former territory of the FRG)","Number","Passengers","791",""
"2006","Germany (until 1990 former territory of the FRG)","Number","Drivers","3,589",""
"2006","Germany (until 1990 former territory of the FRG)","Number","Pedestrians","711",""
"2006","Estonia","Number","Passengers","36",""
"2006","Estonia","Number","Drivers","100",""
"2006","Estonia","Number","Pedestrians","64",""
"2006","Ireland","Number","Passengers","90",""
"2006","Ireland","Number","Drivers","203",""
"2006","Ireland","Number","Pedestrians","72",""
"2006","Greece","Number","Passengers","313",""
"2006","Greece","Number","Drivers","1,077",""
"2006","Greece","Number","Pedestrians","267",""
"2006","Spain","Number","Passengers","905",""
"2006","Spain","Number","Drivers","2,555",""
"2006","Spain","Number","Pedestrians","609",""
"2006","France","Number","Passengers","848",""
"2006","France","Number","Drivers","3,326",""
"2006","France","Number","Pedestrians","535",""
"2006","Croatia","Number","Passengers",":",""
"2006","Croatia","Number","Drivers",":",""
"2006","Croatia","Number","Pedestrians",":",""
